Culture Test ID,Culture Sample 1 Timestamp,Beach,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,DNA Test ID,DNA Sample Timestamp,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean
107973,08/15/2013 12:00:00 AM,NA,231.0,248.0,239.3,,,,,,,,
111411,06/07/2012 12:00:00 AM,North Avenue,4.1,1.0,2.0,,,,,,,,
95868,07/30/2015 12:00:00 AM,Howard,1.0,1.0,1.0,,,,,,,,
90233,06/26/2011 12:00:00 AM,Montrose,,,,,,,,,,,
94472,09/20/2014 12:00:00 AM,North Avenue,,,,,,,,,,,
87602,06/21/2010 12:00:00 AM,12th Street,648.8,613.1,630.7,,,,,,,,
102608,06/09/2009 12:00:00 AM,North Avenue,83.6,52.8,66.4,,,,,,,,
94973,08/15/2015 12:00:00 AM,Leone,,,,,,,,,,,
109835,08/21/2011 12:00:00 AM,Osterman,,,,,,,,,,,
106709,06/26/2014 12:00:00 AM,Osterman,25.0,41.0,32.0,,,,,,,,
107571,05/19/2013 12:00:00 AM,North Avenue,,,,,,,,,,,
107402,07/20/2012 12:00:00 AM,Howard,162.4,172.2,167.2,,,,,,,,
95685,08/28/2015 12:00:00 AM,Ohio Street,19.0,19.0,19.0,,,,,,,,
91754,07/08/2009 12:00:00 AM,Calumet,68.9,62.7,65.7,,,,,,,,
93770,07/20/2015 12:00:00 AM,Osterman,26.0,35.0,30.2,,,,,,,,
95048,05/29/2015 12:00:00 AM,Margaret T Burroughs,5.0,19.0,9.7,,,,,,,,
93598,08/27/2014 12:00:00 AM,NA,12.0,4.0,6.9,,,,,,,,
100137,07/16/2008 12:00:00 AM,Rainbow,93.3,235.9,148.4,,,,,,,,
90148,06/22/2011 12:00:00 AM,Hartigan,1553.1,16.1,158.1,,,,,,,,
88743,06/30/2010 12:00:00 AM,Leone,16.0,18.3,17.1,,,,,,,,
105175,06/03/2012 12:00:00 AM,Margaret T Burroughs,,,,,,,,,,,
112502,07/09/2014 12:00:00 AM,Osterman,26.0,12.0,17.7,,,,,,,,
98132,06/05/2007 12:00:00 AM,North Shore,71.2,58.2,64.4,,,,,,,,
98045,08/14/2006 12:00:00 AM,Rainbow,78.9,62.2,70.1,,,,,,,,
99437,07/17/2007 12:00:00 AM,Howard,17.1,21.3,19.1,,,,,,,,
88939,07/10/2010 12:00:00 AM,Montrose,,,,,,,,,,,
108482,09/05/2015 12:00:00 AM,Oak Street,,,,,,,,,,,
106775,06/23/2012 12:00:00 AM,Juneway,,,,,,,,,,,
109325,08/12/2013 12:00:00 AM,Margaret T Burroughs,46.0,126.0,76.1,,,,,,,,
102290,06/20/2009 12:00:00 AM,Hartigan,8.5,7.5,8.0,,,,,,,,
100331,06/13/2008 12:00:00 AM,Margaret T Burroughs,21.0,17.1,18.9,,,,,,,,
111285,06/27/2013 12:00:00 AM,Juneway,3.0,1.0,1.7,,,,,,,,
104567,06/14/2006 12:00:00 AM,Ohio Street,23.1,28.8,25.8,,,,,,,,
112298,06/13/2014 12:00:00 AM,Marion Mahoney Griffin,4.0,10.0,6.3,,,,,,,,
102898,08/21/2006 12:00:00 AM,Marion Mahoney Griffin,365.4,81.6,172.7,,,,,,,,
89911,08/26/2010 12:00:00 AM,Rainbow,33.6,19.9,25.9,,,,,,,,
89544,05/31/2011 12:00:00 AM,Leone,13.2,10.8,11.9,,,,,,,,
92766,08/10/2014 12:00:00 AM,Leone,,,,,,,,,,,
91419,06/23/2009 12:00:00 AM,North Avenue,47.3,50.4,48.8,,,,,,,,
91935,08/19/2009 12:00:00 AM,Lane,31.5,39.5,35.3,,,,,,,,
109442,08/22/2013 12:00:00 AM,North Avenue,67.0,39.0,51.1,,,,,,,,
110303,05/20/2012 12:00:00 AM,NA,,,,,,,,,,,
96036,09/20/2014 12:00:00 AM,Rainbow,,,,,,,,,,,
108011,08/17/2013 12:00:00 AM,Foster,,,,,,,,,,,
89973,08/29/2010 12:00:00 AM,63rd Street,,,,,,,,,,,
91955,08/20/2009 12:00:00 AM,Montrose,33.6,8.5,16.9,,,,,,,,
99610,05/27/2008 12:00:00 AM,57th Street,129.9,13.4,41.7,,,,,,,,
93031,07/03/2015 12:00:00 AM,Calumet,,,,,,,,,,,
101527,06/11/2009 12:00:00 AM,Lane,9.8,15.6,12.4,,,,,,,,
100261,06/10/2008 12:00:00 AM,Rainbow,16.1,14.6,15.3,,,,,,,,
90972,07/13/2009 12:00:00 AM,Howard,22.3,15.8,18.8,,,,,,,,
94922,08/13/2015 12:00:00 AM,12th Street,3.0,2.0,2.4,,,,,,,,
112031,09/02/2011 12:00:00 AM,Oak Street,6.3,7.4,6.8,,,,,,,,
107336,07/02/2012 12:00:00 AM,Margaret T Burroughs,35.5,61.3,46.6,,,,,,,,
88721,06/29/2010 12:00:00 AM,Osterman,70.8,93.3,81.3,,,,,,,,
109192,09/11/2015 12:00:00 AM,South Shore,,,,,,,,,,,
100724,06/15/2008 12:00:00 AM,Osterman,,,,,,,,,,,
97930,07/10/2006 12:00:00 AM,NA,,,,,,,,,,,
110874,05/30/2012 12:00:00 AM,Marion Mahoney Griffin,1.0,5.2,2.3,,,,,,,,
104010,07/06/2007 12:00:00 AM,Juneway,88.0,53.8,68.8,,,,,,,,
96435,07/09/2011 12:00:00 AM,Howard,,,,,,,,,,,
110585,07/14/2013 12:00:00 AM,Oakwood,48.0,93.0,66.8,,,,,,,,
112172,05/23/2012 12:00:00 AM,Rogers,1.0,,1.0,,,,,,,,
100641,08/13/2007 12:00:00 AM,North Shore,59.1,46.4,52.4,,,,,,,,
100386,07/17/2008 12:00:00 AM,South Shore,461.1,579.4,516.9,,,,,,,,
97688,07/29/2011 12:00:00 AM,Juneway,6.3,17.1,10.4,,,,,,,,
107040,08/01/2013 12:00:00 AM,South Shore,313.0,249.0,279.2,,,,,,,,
110165,05/19/2009 12:00:00 AM,Marion Mahoney Griffin,,,,,,,,,,,
102880,07/26/2006 12:00:00 AM,Margaret T Burroughs,275.2,75.4,144.0,,,,,,,,
90797,07/16/2010 12:00:00 AM,Margaret T Burroughs,49.5,35.0,41.6,,,,,,,,
110972,06/20/2014 12:00:00 AM,South Shore,1.0,1.0,1.0,,,,,,,,
87595,06/21/2010 12:00:00 AM,Calumet,2419.6,79.4,438.3,,,,,,,,
104487,06/01/2007 12:00:00 AM,Juneway,6.2,12.2,8.7,,,,,,,,
111834,07/05/2013 12:00:00 AM,Howard,1.0,2.0,1.4,,,,,,,,
98477,06/20/2007 12:00:00 AM,Howard,10.8,14.4,12.5,,,,,,,,
96564,07/15/2011 12:00:00 AM,Hartigan,2.0,3.1,2.5,,,,,,,,
98694,06/15/2007 12:00:00 AM,12th Street,14.5,30.5,21.0,,,,,,,,
93325,07/11/2015 12:00:00 AM,57th Street,,,,,,,,,,,
108593,07/05/2012 12:00:00 AM,NA,2.0,2.0,2.0,,,,,,,,
103722,06/18/2006 12:00:00 AM,Ohio Street,,,,,,,,,,,
101401,08/26/2007 12:00:00 AM,Lane,51.2,75.4,62.1,,,,,,,,
107107,08/04/2013 12:00:00 AM,South Shore,24.0,88.0,46.0,,,,,,,,
88821,07/04/2010 12:00:00 AM,Osterman,,,,,,,,,,,
106309,09/20/2013 12:00:00 AM,57th Street,,,,,,,,,,,
105393,09/11/2013 12:00:00 AM,Foster,517.0,727.0,613.1,,,,,,,,
100521,07/28/2008 12:00:00 AM,57th Street,7.5,10.6,8.9,,,,,,,,
112209,05/25/2012 12:00:00 AM,Montrose,307.6,118.7,191.1,,,,,,,,
92351,08/02/2009 12:00:00 AM,Lane,,,,,,,,,,,
102195,06/16/2009 12:00:00 AM,Foster,12.2,16.8,14.3,,,,,,,,
91203,07/23/2009 12:00:00 AM,Rogers,12.1,18.5,15.0,,,,,,,,
104931,06/17/2013 12:00:00 AM,Montrose,15.0,12.0,13.4,,,,,,,,
88586,08/01/2010 12:00:00 AM,57th Street,,,,,,,,,,,
100246,07/26/2008 12:00:00 AM,Ohio Street,10.9,25.6,16.7,,,,,,,,
95821,07/28/2015 12:00:00 AM,Foster,99.0,111.0,104.8,,,,,,,,
