id,name,url_code,latitude,longitude
1,12th Street Beach,12th-Street-Beach,41.8637,-87.6075
2,57th Street Beach,57th-Street-Beach,41.791,-87.579
3,63rd Street Beach,63rd-Street-Beach,41.782,-87.573
4,Calumet Beach,Calumet-Beach,41.715,-87.528
5,Columbia Beach,Columbia-Beach,42.004,-87.657
6,Fargo Beach,Fargo-Beach,42.016,-87.662
7,Foster Beach,Foster-Beach,41.979,-87.65
8,Hartigan Beach,Hartigan-Beach,42,-87.657
9,Howard Beach,Howard-Beach,42.019,-87.664
10,Humboldt Beach,Humboldt-Beach,NULL,NULL
11,Marion Mahoney Griffin Beach,Marion-Mahoney-Griffin-Beach,42.015,-87.662
12,Juneway Beach,Juneway-Beach,42.022,-87.665
13,Lane Beach,Lane-Beach,41.99,-87.654
14,Leone Beach,Leone-Beach,42.013,-87.661
15,Loyola Beach,Loyola-Beach,42.01,-87.659
16,Margaret T Burroughs Beach,Margaret-T-Burroughs-Beach,41.839,-87.606
17,Montrose Beach,Montrose-Beach,41.966,-87.637
18,Montrose Dog Beach, Montrose-Dog-Beach,41.9691277,-87.6428513
19,North Avenue Beach,North-Avenue-Beach,41.914,-87.624
20,North Shore Beach,North-Shore-Beach,42.003,-87.657
21,Oak Street Beach,Oak-Street-Beach,41.903,-87.623
22,Oakwood Beach,Oakwood-Beach,41.821,-87.596
23,Ohio Street Beach,Ohio-Street-Beach,41.893,-87.613
24,Osterman Beach,Osterman-Beach,41.987,-87.652
25,Rainbow Beach,Rainbow-Beach,41.759,-87.55
26,Rogers Beach,Rogers-Beach,42.021,-87.664
27,South Shore Beach,South-Shore-Beach,41.769,-87.562
28,Tobey Prinz Beach,Tobey-Prinz-Beach,42.005,-87.657
